"Datetime","probe","T","Err"
"2017-12-13 18:06:07","4","-8.0","0.89"
"2017-12-13 18:06:08","5","-7.8","0.6"
"2017-12-13 18:07:22","1","-7.7","0.64"
"2017-12-13 18:07:23","2","-7.7","0.46"
"2017-12-13 18:07:24","3","-7.9","0.54"
"2017-12-13 18:07:25","4","-7.7","0.46"
"2017-12-13 18:07:26","5","-7.8","0.4"
"2017-12-13 18:08:41","1","-7.5","0.5"
"2017-12-13 18:08:42","2","-7.7","0.46"
"2017-12-13 18:08:43","3","-8.0","0.0"
"2017-12-13 18:08:44","4","-7.9","0.54"
"2017-12-13 18:08:45","5","-7.7","0.64"
"2017-12-13 18:09:59","1","-7.8","0.6"
"2017-12-13 18:10:00","2","-8.1","0.3"
"2017-12-13 18:10:01","3","-7.9","0.7"
"2017-12-13 18:10:02","4","-8.0","0.45"
"2017-12-13 18:10:03","5","-7.7","0.46"
"2017-12-13 18:11:17","1","-8.0","0.45"
"2017-12-13 18:11:18","2","-7.9","0.3"
"2017-12-13 18:11:19","3","-7.8","0.6"
"2017-12-13 18:11:20","4","-7.7","0.46"
"2017-12-13 18:11:21","5","-7.9","0.54"
"2017-12-13 18:12:36","1","-7.8","0.4"
"2017-12-13 18:12:37","2","-7.7","0.46"
"2017-12-13 18:12:38","3","-8.0","0.0"
"2017-12-13 18:12:39","4","-7.9","0.3"
"2017-12-13 18:12:40","5","-7.7","0.64"
"2017-12-13 18:13:54","1","-7.9","0.54"
"2017-12-13 18:13:55","2","-7.7","0.46"
"2017-12-13 18:13:56","3","-7.8","0.4"
"2017-12-13 18:13:57","4","-7.9","0.54"
"2017-12-13 18:13:58","5","-7.8","0.75"
"2017-12-13 18:15:12","1","-7.8","0.4"
"2017-12-13 18:15:13","2","-8.0","0.45"
"2017-12-13 18:15:14","3","-7.5","0.5"
"2017-12-13 18:15:15","4","-7.7","0.46"
"2017-12-13 18:15:16","5","-7.9","0.7"
"2017-12-13 18:16:31","1","-8.0","0.63"
"2017-12-13 18:16:32","2","-7.9","0.3"
"2017-12-13 18:16:33","3","-7.9","0.54"
